,Name,Page,Birthplace,Years of experience,Age,Position,Team,PER,Salary
155,Jonathan Gibson,https://www.basketball-reference.com/players/g/gibsojo01.html,California,2,30,PG,DAL,9.5,680937
156,Taj Gibson,https://www.basketball-reference.com/players/g/gibsota01.html,New York,12,32,PF,TOT,15.0,8950000
157,Manu Ginóbili,https://www.basketball-reference.com/players/g/ginobma01.html,Argentina,16,40,SG,SAS,13.9,14000000
158,Rudy Gobert,https://www.basketball-reference.com/players/g/goberru01.html,France,8,25,C,UTA,23.3,2121288
159,Archie Goodwin,https://www.basketball-reference.com/players/g/goodwar01.html,Arkansas,4,23,SG,TOT,18.7,2094089
160,Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,California,7,22,SF,ORL,14.5,4351320
161,Eric Gordon,https://www.basketball-reference.com/players/g/gordoer01.html,Indiana,13,29,SG,HOU,13.2,12385364
162,Marcin Gortat,https://www.basketball-reference.com/players/g/gortama01.html,Poland,12,33,C,WAS,15.4,12000000
163,Treveon Graham,https://www.basketball-reference.com/players/g/grahatr01.html,Maryland,4,24,SG,CHO,10.6,543471
164,Jerami Grant,https://www.basketball-reference.com/players/g/grantje01.html,Oregon,7,23,PF,TOT,10.1,980431
165,Jerian Grant,https://www.basketball-reference.com/players/g/grantje02.html,Maryland,5,25,PG,CHI,13.2,1643040
166,Danny Green,https://www.basketball-reference.com/players/g/greenda02.html,New York,12,30,SG,SAS,10.1,10000000
167,Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html,Michigan,9,27,PF,GSW,16.5,15330435
168,Gerald Green,https://www.basketball-reference.com/players/g/greenge01.html,Texas,12,31,SF,BOS,11.9,1410598
169,JaMychal Green,https://www.basketball-reference.com/players/g/greenja01.html,Alabama,7,27,PF,MEM,13.5,980431
170,Jeff Green,https://www.basketball-reference.com/players/g/greenje02.html,Maryland,13,31,PF,ORL,10.5,15000000
171,Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html,Oklahoma,11,28,PF,LAC,22.6,20140838
172,Justin Hamilton,https://www.basketball-reference.com/players/h/hamilju01.html,California,3,27,C,BRK,13.6,3000000
173,A.J. Hammons,https://www.basketball-reference.com/players/h/hammoaj01.html,Indiana,1,25,C,DAL,8.4,650000
174,Tim Hardaway Jr.,https://www.basketball-reference.com/players/h/hardati02.html,California,8,25,SG,ATL,15.2,2281605
175,Maurice Harkless,https://www.basketball-reference.com/players/h/harklma01.html,New York,9,24,SF,POR,13.1,8988764
176,Justin Harper,https://www.basketball-reference.com/players/h/harpeju01.html,Virginia,3,28,PF,PHI,4.9,57672
177,Montrezl Harrell,https://www.basketball-reference.com/players/h/harremo01.html,North Carolina,6,23,C,HOU,19.2,1045000
178,Devin Harris,https://www.basketball-reference.com/players/h/harride01.html,Wisconsin,15,34,PG,DAL,13.8,4228000
179,Gary Harris,https://www.basketball-reference.com/players/h/harriga01.html,Indiana,7,23,SG,DEN,16.5,1655880
180,Joe Harris,https://www.basketball-reference.com/players/h/harrijo01.html,Washington,7,26,SG,BRK,9.0,980431
181,Manny Harris,https://www.basketball-reference.com/players/h/harrima01.html,Michigan,4,28,SG,DAL,-2.2,119494
182,Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html,New York,10,25,PF,DET,16.9,17200000
183,Aaron Harrison,https://www.basketball-reference.com/players/h/harriaa01.html,Texas,3,23,SG,CHO,-2.2,375579
184,Andrew Harrison,https://www.basketball-reference.com/players/h/harrian01.html,Texas,3,23,PG,MEM,8.7,945000
185,Udonis Haslem,https://www.basketball-reference.com/players/h/hasleud01.html,Florida,18,37,C,MIA,8.8,4000000
186,Spencer Hawes,https://www.basketball-reference.com/players/h/hawessp01.html,Washington,10,29,PF,TOT,15.6,6348759
187,Gordon Hayward,https://www.basketball-reference.com/players/h/haywago01.html,Indiana,11,27,SF,UTA,22.2,16073140
188,Gerald Henderson,https://www.basketball-reference.com/players/h/hendege02.html,New Jersey,8,30,SG,PHI,10.8,9000000
189,John Henson,https://www.basketball-reference.com/players/h/hensojo01.html,North Carolina,8,27,C,MIL,15.3,12517606
190,Juancho Hernangómez,https://www.basketball-reference.com/players/h/hernaju01.html,Spain,5,22,PF,DEN,13.4,1987440
191,Willy Hernangómez,https://www.basketball-reference.com/players/h/hernawi01.html,Spain,5,23,C,NYK,19.0,1375000
192,Mario Hezonja,https://www.basketball-reference.com/players/h/hezonma01.html,Croatia,5,22,SF,ORL,7.2,3909840
193,Roy Hibbert,https://www.basketball-reference.com/players/h/hibbero01.html,New York,9,31,C,TOT,13.5,5000000
194,Buddy Hield,https://www.basketball-reference.com/players/h/hieldbu01.html,Bahamas,5,25,SG,TOT,11.8,3517200
195,Nenê,https://www.basketball-reference.com/players/h/hilarne01.html,Brazil,17,35,C,HOU,18.9,2898000
196,George Hill,https://www.basketball-reference.com/players/h/hillge01.html,Indiana,13,31,PG,UTA,19.3,8000000
197,Jordan Hill,https://www.basketball-reference.com/players/h/hilljo01.html,Georgia,8,30,C,MIN,5.5,3911380
198,Solomon Hill,https://www.basketball-reference.com/players/h/hillso01.html,California,8,26,SF,NOP,8.0,11241218
199,Darrun Hilliard,https://www.basketball-reference.com/players/h/hillida01.html,Pennsylvania,3,24,SG,DET,5.9,874636
200,Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,California,12,27,PG,NOP,17.1,11286518
201,Justin Holiday,https://www.basketball-reference.com/players/h/holidju01.html,California,8,28,SG,NYK,12.7,1015696
202,Rondae Hollis-Jefferson,https://www.basketball-reference.com/players/h/holliro01.html,Pennsylvania,6,22,SF,BRK,13.7,1395600
203,Richaun Holmes,https://www.basketball-reference.com/players/h/holmeri01.html,Illinois,6,24,C,PHI,18.6,1025831
204,Rodney Hood,https://www.basketball-reference.com/players/h/hoodro01.html,Mississippi,7,25,SG,UTA,12.4,1406520
205,Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html,Dominican Republic,14,31,C,BOS,17.7,26540100
206,Danuel House Jr.,https://www.basketball-reference.com/players/h/houseda01.html,Texas,5,24,SG,WAS,12.2,543471
207,Dwight Howard,https://www.basketball-reference.com/players/h/howardw01.html,Georgia,17,32,C,ATL,20.8,23180275
208,Marcelo Huertas,https://www.basketball-reference.com/players/h/huertma01.html,Brazil,2,34,PG,LAL,9.1,1500000
209,Josh Huestis,https://www.basketball-reference.com/players/h/huestjo01.html,Texas,3,26,PF,OKC,26.1,1191480
210,Kris Humphries,https://www.basketball-reference.com/players/h/humphkr01.html,Minnesota,13,32,PF,ATL,13.6,4000000
211,R.J. Hunter,https://www.basketball-reference.com/players/h/hunterj01.html,Ohio,4,24,SG,CHI,-3.2,1200240
212,Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html,Republic of the Congo,12,28,PF,TOT,16.4,12250000
213,Andre Iguodala,https://www.basketball-reference.com/players/i/iguodan01.html,Illinois,17,33,SF,GSW,14.3,11131368
214,Ersan İlyasova,https://www.basketball-reference.com/players/i/ilyaser01.html,Turkey,13,30,PF,TOT,14.6,8400000
215,Joe Ingles,https://www.basketball-reference.com/players/i/inglejo01.html,Australia,7,30,SF,UTA,12.4,2250000
216,Brandon Ingram,https://www.basketball-reference.com/players/i/ingrabr01.html,North Carolina,5,20,SF,LAL,8.5,5281680
217,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html,Australia,10,25,PG,CLE,23.0,17638063
218,Jarrett Jack,https://www.basketball-reference.com/players/j/jackja01.html,Maryland,13,34,PG,NOP,7.7,1551659
219,Demetrius Jackson,https://www.basketball-reference.com/players/j/jacksde01.html,Indiana,3,23,PG,BOS,30.8,1450000
220,Pierre Jackson,https://www.basketball-reference.com/players/j/jackspi01.html,Nevada,1,26,PG,DAL,13.0,105498
221,Reggie Jackson,https://www.basketball-reference.com/players/j/jacksre01.html,Italy,10,27,PG,DET,14.9,14956522
222,LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html,Ohio,18,33,SF,CLE,27.0,30963450
223,Al Jefferson,https://www.basketball-reference.com/players/j/jeffeal01.html,Mississippi,14,32,C,IND,18.9,10230179
224,Richard Jefferson,https://www.basketball-reference.com/players/j/jefferi01.html,California,17,37,SF,CLE,8.3,2500000
225,John Jenkins,https://www.basketball-reference.com/players/j/jenkijo01.html,Tennessee,6,26,SG,PHO,17.3,469841
